faction,ability_id,name,unit_ids,flags,text
"adepta-sororitas","deadly-demise-d3","Deadly Demise D3","immolator","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers D3 mortal wounds."
"adepta-sororitas","deadly-demise-d6","Deadly Demise D6","battle-sanctum","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers D6 mortal wounds."
"adepta-sororitas","deep-strike","Deep Strike","canoness-with-jump-pack","","The unit has the Deep Strike ability."
"adepta-sororitas","defenders-of-the-faith","Defenders of the Faith","battle-sisters-squad","","The unit retains control of objective markers even after no models remain in range, until the enemy retakes them (sticky objectives)."
"adepta-sororitas","denuncia-oratory","Denuncia oratory","celestian-insidiants","","Modify the unit's characteristics."
"adepta-sororitas","devastating-refrain","Devastating Refrain","exorcist","","During the Shooting phase, enemy units nearby must take a Battle-shock test."
"adepta-sororitas","devastating-reprise","Devastating Reprise","","","Until the end of the phase, the unit's weapons gain [DEVASTATING WOUNDS]. / Applies to: units with Adepta Sororitas, Infantry, Fly."
"adepta-sororitas","divine-deliverance","Divine Deliverance","canoness-with-jump-pack","","During the Fight phase, until the end of the phase: /   -> Add 3 to the unit's Attacks characteristic. /   -> The unit's weapons gain [DEVASTATING WOUNDS]."
"adepta-sororitas","embodied-prophecy","Embodied Prophecy","zephyrim-squad","","If the unit charged this turn, until the end of the phase: /   -> The unit's weapons gain [LETHAL HITS]. /   -> The unit's weapons gain [SUSTAINED HITS 1]."
"adepta-sororitas","emergency-combat-embarkation","Emergency Combat Embarkation","repressor","","The unit gains the Once Per Round Special ability."
"adepta-sororitas","endless-suffering","Endless Suffering","penitent-engines","","The unit gains the Charge After Advance ability."
"adepta-sororitas","executioner-of-heretics-aura","Executioner of Heretics (Aura)","dogmata","","Subtract 1 from the Leadership characteristic of enemy units nearby."
"adepta-sororitas","extremis-trigger-word","Extremis Trigger Word","arco-flagellants","","During the Fight phase, at selected to fight, until the end of the phase: /   -> Modify this model's Attacks characteristic to 6. /   -> This model's arco-flails gains [HAZARDOUS]."
"adepta-sororitas","faithful-fortitude","Faithful Fortitude","","","Until the end of the phase, the unit has the Feel No Pain 5+ ability against mortal wounds. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","feel-no-pain-5","Feel No Pain 5+","mortifiers","","The unit has the Feel No Pain 5+ ability."
"adepta-sororitas","fiery-conviction","Fiery Conviction","junith-eruita","","You gain 1CP."
"adepta-sororitas","fights-first","Fights First","daemonifuge","","The unit has the Fights First ability."
"adepta-sororitas","firing-deck-2","Firing Deck 2","sororitas-rhino","","The unit gains the Firing Deck ability (2)."
"adepta-sororitas","firing-deck-6","Firing Deck 6","repressor","","The unit gains the Firing Deck ability (6)."
"adepta-sororitas","fury-of-the-righteous","Fury of the Righteous","palatine","","After being attached to a unit, the unit's weapons gain [LETHAL HITS]."
"adepta-sororitas","hagiomnifex","Hagiomnifex","","","Until the end of the phase: / Select one of the following (Hagiomnifex Sermon): /   - All enemy units gain the Detection Range Modifier ability. /   - The unit is marked as battle shock auto succeed. /   - Add 1 to the unit's Move characteristic. /   - Add 1 to the unit's Strength characteristic. /   - The attacking unit gets -1 to Wound rolls. / Applies to: units with Adepta Sororitas, Character (excluding Penitent)."
"adepta-sororitas","harmonised-exorcism","Harmonised Exorcism","","","Until the end of the phase, the unit gets +1 to Hit rolls. / Applies to: units with Exorcist."
"adepta-sororitas","healing-tears","Healing Tears","saint-celestine","","In the Command phase, if the unit has the CELESTINE keyword, while the unit is below its starting strength, until the end of the turn: /   Select one of the following (Resurrect Allies): /     - If the unit has the GEMINAE SUPERIA keyword, return 1 destroyed model to the unit with full wounds. /     - If the unit has the BODYGUARD keyword, unless the unit has the GEMINAE SUPERIA keyword, return D3 destroyed models to the unit with full wounds."
"adepta-sororitas","holy-cover","Holy Cover","battle-sanctum","","During the Shooting phase, the unit gains the Benefit of Cover ability."
"adepta-sororitas","holy-hatred","Holy Hatred","ministorum-priest","","After being attached to a unit, the unit's weapons gain [SUSTAINED HITS 1]."
"adepta-sororitas","holy-judgement","Holy Judgement","daemonifuge","","During the Shooting phase, your unit suffers 3 mortal wounds."
"adepta-sororitas","holy-mission","Holy Mission","ministorum-priest","","After being attached to a unit, the unit gains the Attached Unit Eligibility ability."
"adepta-sororitas","holy-piety","Holy Piety","ministorum-priest","","During the Fight phase, you can re-roll the Hit roll."
"adepta-sororitas","holy-quest","Holy Quest","","","For the rest of the battle, all friendly units get +1 to Hit rolls. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","holy-vanguard","Holy Vanguard","dominion-squad","","After being attached to a unit, this model gains the Special Embark Rule ability."
"adepta-sororitas","hymns-of-battle","Hymns of Battle","","","For the rest of the battle, add 1 to the Leadership characteristic of all friendly units. / Applies to: units with Adepta Sororitas, Character."
"adepta-sororitas","impetuous-fervour","Impetuous Fervour","sisters-novitiate-squad","","You can re-roll a Hit roll of 1."
"adepta-sororitas","infiltrators","Infiltrators","sisters-novitiate-squad","","Once per battle, the unit has the Infiltrate ability."
"adepta-sororitas","inspirational-battle-cantics","Inspirational Battle Canticles","","","The unit is marked as battle shocked. / Applies to: units with Adepta Sororitas."
"adepta-sororitas","laud-hailer","Laud Hailer","dialogus","","Once per battle, the unit gains the Once Per Battle Special ability."
"adepta-sororitas","leader","Leader","canoness-with-jump-pack","","The unit gains the Leader ability."
"adepta-sororitas","lifewards","Lifewards","saint-celestine","","The unit has the Feel No Pain 4+ ability."
"adepta-sororitas","litany-of-deeds","Litany of Deeds","imagifier","","If 1+ friendly units destroyed current, if the unit has the ADEPTA SORORITAS keyword, until the end of the turn, this model gains the Miracle Dice Reroll Before Pool ability."
"adepta-sororitas","lone-operative","Lone Operative","daemonifuge","","This model can only be targeted if it is the closest eligible target or within 12""."
"adepta-sororitas","medicus-ministorum","Medicus Ministorum","hospitaller","","After being attached to a unit, the unit has the Feel No Pain 5+ ability."
"adepta-sororitas","ministorum-sermon","Ministorum Sermon","sanctifiers","","The unit's weapons gain [SUSTAINED HITS 1]."
"adepta-sororitas","miraculous-intervention","Miraculous Intervention","saint-celestine","","When destroyed by a any attack, once per battle, for the rest of the battle: /   -> Roll one D6: on a 2+, return 1 destroyed model to this model with full wounds."
"adepta-sororitas","mysterious-saviours","Mysterious Saviours","daemonifuge","","You can use the Fire Overwatch or Heroic Stratagem on this model for 0CP."
"adepta-sororitas","null-rod","Null Rod","canoness","","The unit has the Feel No Pain 4+ ability."
"adepta-sororitas","overseer-of-redemption","Overseer of Redemption","repentia-squad","","During the Fight phase: /   -> You can re-roll the Hit roll. /   -> You can re-roll the Wound roll."
"adepta-sororitas","perfervid-haste","Perfervid Haste","","","Add 1 to the unit's Move characteristic. / Applies to: units with Adepta Sororitas."
"adepta-sororitas","purge-and-cleanse","Purge and Cleanse","immolator","","During the Shooting phase, until the end of the phase, the unit gains the Benefit of Cover ability."
"adepta-sororitas","rapturous-blows","Rapturous Blows","palatine","","During the Fight phase, until the end of the phase, your unit suffers 1 mortal wound."
"adepta-sororitas","recount-the-deeds-of-the-saints","Recount the Deeds of the Saints","aestred-thurga-and-agathae-dolan","","Until the end of the turn: / While this model leads a unit, if the unit has the AGATHE-DOLAN keyword, if 1+ enemy units destroyed, you gain 1 Miracle Dice Pool. / If the unit has the AGATHE-DOLAN keyword, when destroyed by a any attack, you gain 1D3 Miracle Dice Pool."
"adepta-sororitas","relics-of-the-matriarchs","Relics of the Matriarchs","triumph-of-saint-katherine","","At the start of the battle round, until the end of the battle round, this model gains the Relics of Matriarchs ability."
"adepta-sororitas","righteous-awareness","Righteous Awareness","dominion-squad","","The unit has the Reactive Move ability."
"adepta-sororitas","righteous-paragons","Righteous Paragons","paragon-warsuits","","The unit gets +1 to Hit rolls. / The unit gets +1 to Wound rolls."
"adepta-sororitas","righteous-repugnance","Righteous Repugnance","morvenn-vahl","","Until the end of the phase, add 3 to the unit's Attacks characteristic."
"adepta-sororitas","righteous-smiting","Righteous Smiting","ministorum-priest","","During the Fight phase, after being attached to a unit, the unit gets +1 to Wound rolls."
"adepta-sororitas","rites-of-castigation","Rites of Castigation","castigator","","During the Shooting phase, until the end of the turn, subtract 1 from the unit's Armour Penetration characteristic."
"adepta-sororitas","rituale-nullificatus","Rituale Nullificatus","celestian-insidiants","","The unit has the Feel No Pain 4+ ability."
"adepta-sororitas","rod-of-office","Rod of Office","canoness","","You can re-roll a Hit roll of 1."
"adepta-sororitas","sacred-banner","Sacred Banner","sisters-novitiate-squad","","You can re-roll the Charge roll."
"adepta-sororitas","sacred-command","Sacred Command","canoness-with-jump-pack","","Once per battle, you can use one Stratagem on this model for 0CP."
"adepta-sororitas","sacred-healing","Sacred Healing","hospitaller","","After being attached to a unit, return 1 destroyed model to the unit with full wounds."
"adepta-sororitas","salvationist-medikit","Salvationist Medikit","sanctifiers","","Return D3 destroyed models to the unit with full wounds."
"adepta-sororitas","sanctified-blows","Sanctified Blows","","","Until the end of the phase: / Add 1 to the unit's Attacks characteristic (melee). / Add 1 to the unit's Strength characteristic (melee). / Applies to: units with Celestian Sacresants."
"adepta-sororitas","scouts-6","Scouts 6""","sanctifiers","","Once per battle, the unit has the Scouts 6"" ability."
"adepta-sororitas","self-repair","Self Repair","sororitas-rhino","","Return 1 destroyed model to this model with full wounds."
"adepta-sororitas","simulacrum-imperialis","Simulacrum Imperialis","sanctifiers","","During the Command phase, at the end of the phase, if you control 1+ objectives, if within range of an objective, until the end of the phase: /   -> Roll one D6: on a 4+, you gain 1 Miracle Dice Pool."
"adepta-sororitas","solemn-procession","Solemn Procession","triumph-of-saint-katherine","","At the start of the battle round, until the end of the battle round, this model gains the Miracle Dice Fixed 6 Override ability."
"adepta-sororitas","stanchion-of-holy-martyrs","Stanchion of Holy Martyrs","imagifier","","After being attached to a unit, modify this model's Save characteristic to 2."
"adepta-sororitas","stirring-rhetoric","Stirring Rhetoric","dialogus","","While this model leads a unit, until the end of the phase, at act of faith, the unit gains the Miracle Dice Value Set 6 ability."
"adepta-sororitas","storm-of-retribution","Storm of Retribution","retributor-squad","","During the Shooting phase: /   -> You can re-roll a Hit roll of 1. /   -> You can re-roll a Wound roll of 1. /   -> The unit gets +1 to Hit rolls. /   -> The unit gets +1 to Wound rolls."
"adepta-sororitas","supreme-commander","Supreme Commander","morvenn-vahl","","This model must be your Warlord."
"adepta-sororitas","sworn-protectors","Sworn Protectors","celestian-sacresants","","After being attached to a unit, the attacking unit gets -1 to Wound rolls."
"adepta-sororitas","symphonic-payload","Symphonic Payload","","","You can re-roll the Attacks Characteristic roll. / Applies to: units with Exorcist."
"adepta-sororitas","the-emperor-s-grace","The Emperor’s Grace","canoness","","Until the end of the phase, this model has a 2+ invulnerable save."
"adepta-sororitas","the-pulpit-of-saint-holline-s-basilica","The Pulpit of Saint Holline’s Basilica","junith-eruita","","After being attached to a unit, the attacking unit gets -1 to Hit rolls."
"adepta-sororitas","unflinching-determination","Unflinching Determination","dogmata","","After being attached to a unit, the unit gets +1 to its Objective Control characteristic."
"adepta-sororitas","unflinching-determination-sacred-champions","Unflinching Determination","","","Until the end of the turn: / The unit's weapons gain [ASSAULT]. / The unit gains the Act After Move ability. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","virtue-of-intolerance","Virtue of Intolerance","celestian-insidiants","","You can re-roll the Hit roll. / The unit's weapons gain [PRECISION]."
"adepta-sororitas","war-hymns","War Hymns","ministorum-priest","","After being attached to a unit, the unit's weapons gain [SUSTAINED HITS 1]."
"adepta-sororitas","writ-of-compunction","Writ of Compunction","","","The unit gets +1 to its Objective Control characteristic. / Applies to: units with Celestian Sacresants."
"adepta-sororitas","zealot","Zealot","ministorum-priest","","During the Fight phase, until the end of the phase: /   -> Add 3 to the unit's Attacks characteristic. /   -> Add 3 to the unit's Strength characteristic."
"adeptus-astartes","aerial-assault","Aerial Assault","thunderhawk-gunship","","The unit gains the Transport Disembark Modifier ability."
"adeptus-astartes","aerial-deployment","Aerial Deployment","thunderhawk-transporter","","If the unit has the HOVER keyword, if the unit has the STRATEGIC RESERVES keyword, for the rest of the battle, this model gains the Reinforcement Any of Turns 1 to 3 ability."
"adeptus-astartes","an-honourable-death-in-combat","An Honourable Death in Combat","death-company-marines","","While the unit is below its starting strength, while the unit is below half strength, the unit's weapons gain [SUSTAINED HITS 1]."
"adeptus-astartes","ancient-tactician","Ancient Tactician","bjorn-the-fell-handed","","You gain 1CP."
"adeptus-astartes","angel-s-wrath","Angel’s Wrath","captain-with-jump-pack","","After being attached to a unit, until the end of the turn, add 1 to the unit's Strength characteristic."
"adeptus-astartes","angelic-visage","Angelic Visage","sanguinary-guard","","During the Fight phase, the attacking unit gets -1 to Hit rolls."
"adeptus-astartes","annihilator","Annihilator","predator-annihilator;vindicator-laser-destroyer","","During the Shooting phase, you can re-roll the Damage roll."
"adeptus-astartes","annihilator-protocols","Annihilator Protocols","centurion-assault-squad","","The unit's weapons gain [SUSTAINED HITS 2]."
"adeptus-astartes","anvil-of-endurance","Anvil of Endurance","arjac-rockfist","","During the Fight phase, after being attached to a unit, each time this model is destroyed, it can fight before being removed from play."
"adeptus-astartes","aquilon-optics","Aquilon Optics","gladiator-lancer","","You can re-roll the Damage roll."
"adeptus-astartes","armorium-cherub","Armorium Cherub","devastator-squad","","Once per battle, this model gets -6 to Any rolls."
"adeptus-astartes","armour-of-fate","Armour of Fate","roboute-guilliman","","Return 1 destroyed model to this model with full wounds."
"adeptus-astartes","armoured-resilience","Armoured Resilience","stormraven-gunship;storm-eagle-gunship","","Each time an attack targets the unit, reduce the Damage of that attack by 1."
"adeptus-astartes","armoured-spearhead","Armoured Spearhead","deimos-predator;sicaran-battle-tank","","You can re-roll a Hit roll of 1."
"adeptus-astartes","assault-ramp","Assault Ramp","land-raider-crusader;land-raider;land-raider-helios;land-raider-prometheus;terminus-ultra;land-raider-achilles;land-raider-excelsior;spartan","","The unit gains the Transport Disembark Modifier ability."
"adeptus-astartes","assault-vehicle","Assault Vehicle","impulsor","","The unit gains the Transport Disembark Modifier ability."
"adeptus-astartes","astartes-banner","Astartes Banner","ravenwing-command-squad","","The unit gets +1 to its Objective Control characteristic."
"adeptus-astartes","astartes-shield","Astartes shield","deathwatch-veterans;decimus-kill-team","","This model has a 4+ invulnerable save."
"adeptus-astartes","atomantic-arc-reactor","Atomantic Arc-reactor","cerberus","","During the Shooting phase, if the unit Remained Stationary, the unit's weapons gain [LETHAL HITS]."
"adeptus-astartes","attached-unit","Attached Unit","sword-brethren-squad;decimus-kill-team","","After being attached to a unit, the unit gains the Attached Unit Eligibility ability."
"adeptus-astartes","aura-of-fervour-aura","Aura of Fervour (Aura)","the-sanguinor","","If the unit has the ADEPTUS ASTARTES keyword, for the rest of the battle: /   -> Friendly units nearby gain the Battle Shock Test Re Roll ability. /   -> Friendly units nearby gain the Leadership Test Re Roll ability."
"adeptus-astartes","auspex-array","Auspex Array","corvus-blackstar","","The unit's weapons gain [IGNORES COVER]."
"adeptus-astartes","author-of-the-codex","Author of the Codex","roboute-guilliman","","During the Command phase, until the end of the turn, this model gains the Author of the Codex ability."
"adeptus-astartes","ballistus-strike","Ballistus Strike","ballistus-dreadnought","","During the Shooting phase, while the unit is below half strength, against A targets, you can re-roll the Hit roll."
"adeptus-astartes","banner-of-macragge","Banner of Macragge","victrix-honour-guard","","During the Fight phase, until the end of the phase, add 1 to the unit's Attacks characteristic."
"adeptus-astartes","battle-lust","Battle-lust","ragnar-blackmane","","Until the end of the turn, add 2 to the unit's Attacks characteristic."
"adeptus-astartes","berserk-charge","Berserk Charge","blood-claws","","The unit gains the Charge After Advance ability."
"adeptus-astartes","bestial-fury","Bestial Fury","murderfang","","You can re-roll the Charge roll."
"adeptus-astartes","bestial-rage","Bestial Rage","wulfen-dreadnought","","In the Shooting phase, while the model has lost wounds, until the end of the phase, this model has the Bestial Rage D6+2"" ability."
"adeptus-astartes","black-rage","Black Rage","death-company-dreadnought","","During the Fight phase, you can re-roll the Hit roll."
"adeptus-astartes","blackstar-cluster-launcher","Blackstar Cluster Launcher","corvus-blackstar","","Your unit suffers 1 mortal wound."
"adeptus-astartes","blackwing-mantle","Blackwing Mantle","aethon-shaan","","You can use the Fire Overwatch or Heroic Stratagem on this model for 0CP."
"adeptus-astartes","bladeguard","Bladeguard","bladeguard-veteran-squad","","During the Fight phase, until the end of the phase, you can re-roll a Hit roll of 1."
"adeptus-astartes","blessing-of-the-omnissiah","Blessing of the Omnissiah","techmarine","","Until your next Command phase, the unit gets +1 to Hit rolls."
"adeptus-astartes","blizzard-shield","Blizzard Shield","venerable-dreadnought","","This model has a 4+ invulnerable save."
"adeptus-astartes","blood-chalice","Blood Chalice","sanguinary-priest","","After being attached to a unit, subtract 1 from the unit's Armour Penetration characteristic."
"adeptus-astartes","book-of-salvation","Book of Salvation","ezekiel","","After being attached to a unit, add 1 to the unit's Attacks characteristic."
"adeptus-astartes","braziers-of-judgement","Braziers of Judgement","inner-circle-companions","","After being attached to a unit, the attacking unit gets -1 to Hit rolls."
"adeptus-astartes","brutalis-charge","Brutalis Charge","brutalis-dreadnought","","Your unit suffers d3 mortal wounds."
"adeptus-astartes","captain-of-the-honour-guard","Captain of the Honour Guard","cato-sicarius","","You can include only one of this unit in your army."
"adeptus-astartes","catechism-of-fire","Catechism of Fire","chaplain-on-bike","","Until the end of the phase, the unit's weapons gain [DEVASTATING WOUNDS]."
"adeptus-astartes","centurion-assault-launcher","Centurion assault launcher","centurion-assault-squad","","This model's weapons gain [GRENADES]."
"adeptus-astartes","ceramite-cover","Ceramite Cover","hammerfall-bunker","","During the Shooting phase, the unit gains the Benefit of Cover ability."
"adeptus-astartes","cerebrex-logic-engine","Cerebrex Logic Engine","caanok-var","","For the rest of the battle: / When declaring Battle Formations, all friendly units gain the Select One Infantry Unit Gains Scouts 6 ability. / After deployment, all friendly units gain the Pregame Redeploy Up to Three Infantry Units ability."
"adeptus-astartes","champion-of-the-kingsguard","Champion of the Kingsguard","arjac-rockfist","","During the Fight phase, against CHARACTER targets: /   -> You can re-roll the Hit roll. /   -> You can re-roll the Wound roll."
"adeptus-astartes","chapter-master-of-the-raven-guard","Chapter Master of the Raven Guard","aethon-shaan","","When declaring Battle Formations, if the unit has the AETHON SHAAN keyword, if the unit has the KAYVAAN SHRIKE keyword, for the rest of the battle: /   -> The unit's weapons gain [CAPTAIN]. /   -> The unit gains the Remove Chapter Master Keyword ability. /   -> The unit gains the Remove Lone Operative ability."
"adeptus-astartes","close-quarters-firepower","Close-quarters Firepower","aggressor-squad","","During the Shooting phase, subtract 1 from the unit's Armour Penetration characteristic."
"adeptus-astartes","cold-and-calculating","Cold and Calculating","caanok-var","","The unit's weapons gain [LETHAL HITS]. / The unit's weapons gain [SUSTAINED HITS 1]."
"adeptus-astartes","combat-disembarkation","Combat Disembarkation","drop-pod","","The unit gains the Transport Disembark Modifier ability."
"adeptus-astartes","combat-squads","Combat Squads","tactical-squad","","The unit gains the Combat Squads ability."
"adeptus-astartes","command-squad","Command Squad","company-heroes","","After being attached to a unit, the attacking unit gets -1 to Wound rolls."
"adeptus-astartes","command-squad-bodyguard","COMMAND SQUAD BODYGUARD","company-veterans-on-bikes","","After being attached to a unit, the unit gains the Attached Unit Eligibility ability."
"adeptus-astartes","company-heroes","Company Heroes","company-heroes","","The unit gains the Forced Attachment ability."
"adeptus-astartes","condemnatory-annihilation","Condemnatory Annihilation","execrator","","Enemy units nearby must take a Battle-shock test."
"adeptus-astartes","crimson-fists","Crimson Fists","pedro-kantor","","This model gains the Faction Metadata ability."
"adeptus-astartes","crusade-of-wrath","Crusade of Wrath","high-marshal-helbrecht","","After being attached to a unit, add 1 to the unit's Strength characteristic."
"adeptus-astartes","cunning-hunters","Cunning Hunters","grey-hunters","","You can re-roll a Wound roll of 1."
"adeptus-astartes","curse-of-the-wulfen","Curse of the Wulfen","","","The unit gets +1 to its Objective Control characteristic."
"adeptus-astartes","cut-off-their-escape","Cut Off Their Escape","sammael","","Enemy units nearby: anti fallback."
"adeptus-astartes","dark-angels-bodyguard","Dark Angels Bodyguard","lion-eljonson","","If within 3"" of a friendly unit, for the rest of the battle, this model gains the Lone Operative ability."
"adeptus-astartes","deadly-demise-1","Deadly Demise 1","dreadnought;dreadnought-drop-pod;chaplain-venerable-dreadnought","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers 1 mortal wound."
"adeptus-astartes","deadly-demise-2d6","Deadly Demise 2D6","sokar-pattern-stormbird","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers 2D6 mortal wounds."
"adeptus-astartes","deadly-demise-d3","Deadly Demise D3","gladiator-lancer;rhino-primaris;relic-razorback;vindicator-laser-destroyer;xiphon-interceptor;whirlwind-scorpius;leviathan-dreadnought;sicaran-battle-tank","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers D3 mortal wounds."
"adeptus-astartes","deadly-demise-d6","Deadly Demise D6","land-raider-crusader;land-raider;storm-eagle-gunship;fire-raptor-gunship;land-raider-helios;land-raider-prometheus;terminus-ultra;land-raider-achilles;land-raider-excelsior;spartan","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers D6 mortal wounds."
"adeptus-astartes","deadly-demise-d6-2","Deadly Demise D6+2","astraeus","","Once per battle: / Roll one D6: on a 6+, each enemy unit within 6"" suffers D6+2 mortal wounds."
"adeptus-astartes","deadly-stalkers","Deadly Stalkers","wolf-scouts","","The unit gets +1 to Wound rolls."
"adeptus-astartes","deadly-terror","Deadly Terror","lieutenant-in-reiver-armour","","After being attached to a unit, add 3 to this model's Aura Range characteristic."
"adeptus-astartes","death-hold","Death-hold","carab-culln-the-risen","","During the Shooting phase, ignore engagement penalty this model's Hit rolls."
"adeptus-astartes","death-mask-of-sanguinius","Death Mask of Sanguinius","commander-dante","","During the Fight phase, enemy units nearby must take a Battle-shock test."
"adeptus-astartes","death-to-the-alien","Death to the Alien","deathwatch-veterans;decimus-kill-team","","You can re-roll a Hit roll of 1."
"adeptus-astartes","death-totem","Death Totem","wulfen-with-storm-shields","","During the Fight phase, you can re-roll a Hit roll of 1."
"adeptus-astartes","death-vision-of-sanguinius","Death Vision of Sanguinius","death-company-captain-with-jump-pack","","During the Fight phase, your unit suffers d3 mortal wounds."
"adeptus-astartes","deathstorm-assault","Deathstorm Assault","deathstorm-drop-pod","","The unit has the Deep Strike ability."
"adeptus-astartes","deathwing","Deathwing","deathwing-terminator-squad","","The unit gets +1 to Hit rolls."
"adeptus-astartes","decimator-protocols","Decimator Protocols","centurion-devastator-squad","","During the Shooting phase, you can re-roll a Hit roll of 1."
"adeptus-astartes","deeds-of-heroism","Deeds of Heroism","bladeguard-ancient","","Until the end of the phase, add 1 to the unit's Attacks characteristic."
"adeptus-astartes","deep-strike","Deep Strike","terminator-squad;lion-eljonson;terminator-assault-squad;dreadnought-drop-pod","","The unit has the Deep Strike ability."
"adeptus-astartes","defensive-array","Defensive Array","hammerfall-bunker","","You can use the Fire Overwatch or Heroic Stratagem on this model for 0CP."
"adeptus-astartes","demetrian-titus","DEMETRIAN TITUS","captain-titus","","You can include only one of this unit in your army."
"adeptus-astartes","deployment-complete","Deployment Complete","drop-pod","","This model gains the Special Embark Rule ability."
"adeptus-astartes","deredeo-strike","Deredeo Strike","deredeo-dreadnought","","During the Shooting phase, while the unit is below half strength, against A targets, you can re-roll the Hit roll."
"adeptus-astartes","designer-s-note","Designer’s Note","drop-pod","placeholder","Each time a model in this unit is destroyed, unless within ?"" of models on red sections, the unit gains the Passenger Relocation on Destruction ability."
"adeptus-astartes","destructor","Destructor","predator-destructor","","During the Shooting phase, against INFANTRY targets, subtract 1 from the unit's Armour Penetration characteristic."
"adeptus-astartes","driven-by-fury","Driven by Fury","death-company-dreadnought","","Modify the unit's characteristics."
"adeptus-astartes","drop-pod-assault","Drop Pod Assault","drop-pod;dreadnought-drop-pod","","The unit has the Deep Strike ability."
"adeptus-astartes","duty-eternal","Duty Eternal","redemptor-dreadnought;leviathan-dreadnought","","Each time an attack targets the unit, reduce the Damage of that attack by 1."
"adeptus-astartes","echo-of-the-ravenspire","Echo of the Ravenspire","kayvaan-shrike","","The unit has the Redeploy to Reserves ability."
"adeptus-astartes","embarking-within-transports","Embarking Within Transports","logan-grimnar","","This model gains the Special Embark Rule ability."
"adeptus-astartes","emergency-combat-embarkation","Emergency Combat Embarkation","repulsor","","The unit gains the Once Per Round Special ability."
"adeptus-astartes","engulfing-fear-psychic","Engulfing Fear (Psychic)","ezekiel","","During the Shooting phase, enemy units within 18"" must take a Battle-shock test."
"adeptus-astartes","enmity-for-the-unworthy","Enmity for the Unworthy","inner-circle-companions","","Against CHARACTER targets, the unit gets +1 to Hit rolls."
"adeptus-astartes","evade-and-survive","Evade and Survive","lieutenant-with-combi-weapon","","The unit has the Reactive Move ability."
"adeptus-astartes","even-in-death-i-serve","Even In Death I Serve","relic-contemptor-dreadnought","","Return 1 destroyed model to this model with full wounds."
"adeptus-astartes","executioner","Executioner","repulsor-executioner","","While the unit is below half strength, against A targets, the unit gets +1 to Hit rolls."
"adeptus-astartes","exemplar-of-hate","Exemplar of Hate","asmodai","","During the Fight phase, after being attached to a unit, you can re-roll the Hit roll."
"adeptus-astartes","exhortation-of-rage","Exhortation of Rage","chaplain-with-jump-pack","","Your unit suffers d3 mortal wounds."
"adeptus-astartes","exploit-their-cowardice","Exploit Their Cowardice","sword-brethren-squad","","Enemy units nearby: anti fallback."
"adeptus-astartes","explorator-augury-web","Explorator Augury Web","land-raider-proteus","","Enemy units cannot be set up from Reserves within 12"" of enemy units nearby."
"adeptus-astartes","feared-interrogator","Feared Interrogator","asmodai","","During the Fight phase, enemy units nearby must take a Battle-shock test."
